"System","Cali.User.Selection","Analyt.User.Selection","Chromatography","Report.File","Cali.Default.File","SAA.Menue","FullName","Solids","Method","Element","Analyt","Signal.Name","SAA","Version","QC.Kind","QC.Name","QC.RegEx","Filename","Zielwert","Unsicherheit","LimitBG","Unit.Accept","QC.Norm","Unit.Norm","Datum.Val","Datum.Reval","Datum.Next.Reval","Operator.Reval","BGMethod","Significant.Digits","Alpha","Masse","UseMeans","UseIntCorr","outlier","BG.SAA","QC.Spike"
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ni",,,"5.1.1","2","VBW","Ni_VBW",,"SAA_5.1.1_Ni_VBW.csv",,,5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ni",,,"5.1.1","2","QC","Ni_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Ni_NBS1633c.csv",100,20,,"%",132,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","P",,,"5.1.1","2","VBW","P_VBW",,"SAA_5.1.1_P_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","P",,,"5.1.1","2","QC","P_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_P_NBS1633c.csv",100,20,,"%",192,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Pb","Pb2203_453","Pb2203_453","5.1.1","2","VBW","Pb_VBW",,"SAA_5.1.1_Pb_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Pb","Pb2203_453","Pb2203_453","5.1.1","2","QC","Pb_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Pb_NBS1633c.csv",100,20,,"%",95.2,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Sb",,,"5.1.1","2","VBW","Sb_VBW",,"SAA_5.1.1_Sb_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Sb",,,"5.1.1","2","QC","Sb_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Sb_NBS1633c.csv",100,20,,"%",8.56,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Se","Se1960_472","Se1960_472","5.1.1","2","VBW","Se_VBW",,"SAA_5.1.1_Se_VBW.csv",,,10,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Se","Se1960_472","Se1960_472","5.1.1","2","QC","Se_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Se_NBS1633c.csv",100,20,,"%",13.9,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
