"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M 200827/03 QC VBW","2020-08-27 14:20:55","74.1823585504117","0.328868418929308","","","","0"
"M 200827/01 QC VBW","2020-08-27 14:17:08","52.8185189117426","0.113822604141434","","","","0"
"M 200813/01 QC VBW ","2020-08-14 10:33:21","82.2733334602691","0.821566413684346","","","","0"
"M 200812/02 QC VBW ","2020-08-14 10:29:34","41.0002643657673","0.144271584395944","","","","0"
"M 200806/46 QC VBW ","2020-08-07 10:36:47","54.1821730938444","0.478970904148417","","","","0"
"M 200723/51 QC VBW v. 23.07.20","2020-07-24 10:42:13","112.0009670106","1.25183201122616","","","","0"
"M 200723/46 QC VBW v. 17.07.20","2020-07-24 10:39:27","333.672493010007","4.60469279087675","","","","0"
"M 200625/04 QC VBW v. 25.06.20","2020-06-25 13:42:13","76.3005580050992","0.18850070283564","","","","0"
"M 200625/02 QC VBW v. 18.06.20","2020-06-25 13:39:26","77.625558505094","0.196757606816348","","","","0"
"M 200605/02 QC VBW","2020-06-09 11:16:52","55.9003612028816","0.152175159664253","","","","0"
"M 200528/35 QC VBW","2020-05-28 10:47:49","56.2730789117542","0.192163986105826","","","","0"
"M 200507/19 QC VBW","2020-05-20 10:53:20","45.0002582239876","0.13201580813997","","","","0"
"M 200507/19 QC VBW","2020-05-13 12:38:53","42.875252501814","0.198464880480383","","","","0"
"M 200420/04 QC VBW","2020-04-21 13:48:18","70.2005096048576","-0.0766635367978083","","","","0"
"M 200417/05 QC VBW","2020-04-17 13:23:57","58.0003723666677","0.128318878316675","","","","0"
"M 200408/01 QC VBW","2020-04-08 10:31:37","66.9095578222196","0.247529287532402","","","","0"
"M 200326/01 QC VBW","2020-03-27 09:05:50","49.9003204026224","0.37488674148512","","","","0"
"M 200317/03 QC VBW","2020-03-17 15:42:33","75.0005247318327","1.09255736376488","","","","0"
"M 200311/03 QC VBW","2020-03-11 15:19:14","265.378838566108","5.30189454789754","","","","0"
"M 200311/01 QC VBW","2020-03-11 15:16:12","89.222896450768","1.53469417566333","","","","0"
"M 200220/307 QC VBW","2020-02-21 09:18:09","26.3637760008844","0.292210484280259","","","","0"
"M 200220/304 QC VBW","2020-02-21 09:15:07","220.447288933772","4.03256801007303","","","","0"
"M 200206/45 QC VBW","2020-02-06 15:17:47","27.7779217786382","0.27011552985095","","","","0"
