LIMS export of <Calib_2018.d80>
Version 03-CDate 2018-12-05-12-35-14

Nr;Pos;SampleName;CreationDate;ProcessTime;Amount;Unit;ConcentrateAmount;Unit;Type;State;CalFile;MethodFile;Height;Cell;Hg [ng];Concentration;Unit;DilutionWeight;FinalVolume;CalFactor;DilutionFactor;Statistics;Group;Remark;
80;-;manueller BW;2018-12-03-14-25-14;2018-12-03-14-47-35;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0033;0;0,0228;;;;;1,0000;;;;;
81;-;Amalgamator ausheizen;2018-12-03-15-05-20;2018-12-03-15-05-20;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;;0,0044;0;0,0315;;;;;1,0000;;;;;
82;1;NIST 1632 d;2018-12-03-15-07-01;2018-12-03-15-08-11;0,01910;g;0,01910;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,2082;0;1,6213;84,8837;µg/kg;;;1,0000;;;;;
83;2;NIST 1632 d;2018-12-03-15-07-23;2018-12-03-15-14-14;0,01810;g;0,01810;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,2250;0;1,7524;96,8151;µg/kg;;;1,0000;;;;;
84;3;NIST 1632 d;2018-12-03-15-07-30;2018-12-03-15-20-38;0,01860;g;0,01860;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,2255;0;1,7563;94,4223;µg/kg;;;1,0000;;;;;
85;4;NIST 1632 d;2018-12-03-15-07-35;2018-12-03-15-26-57;0,01910;g;0,01910;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,2650;0;2,0644;108,0858;µg/kg;;;1,0000;;;;;
86;5;BW;2018-12-03-15-07-57;2018-12-03-15-33-19;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,0051;0;0,0364;0,3639;µg/kg;;;1,0000;;;;;
87;6;BW;2018-12-03-15-08-06;2018-12-03-15-39-46;0,10000;g;0,10000;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,0037;0;0,0258;0,2581;µg/kg;;;1,0000;;;;;
88;-;Amalgamator ausheizen;2018-12-04-12-19-03;2018-12-04-12-19-03;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;;0,0137;0;0,0966;;;;;1,0000;;;;;
89;-;manueller BW;2018-12-04-12-22-54;2018-12-04-12-22-54;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;BV-Method.m80;0,0281;0;0,2017;;;;;1,0000;;;;;
90;-;manueller BW;2018-12-04-13-57-08;2018-12-04-13-57-08;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;BV-Method.m80;0,0147;0;0,1040;;;;;1,0000;;;;;
91;-;manueller BW;2018-12-04-14-02-27;2018-12-04-14-02-27;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;BV-Method.m80;0,0013;0;0,0068;;;;;1,0000;;;;;
92;1;NIST 1632 d;2018-12-04-14-11-48;2018-12-04-14-13-06;0,05120;g;0,05120;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2294;1;4,6577;90,9707;µg/kg;;;1,0000;;1;2;;
93;2;M 181104/19;2018-12-04-14-12-07;2018-12-04-14-19-07;0,04800;g;0,04800;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2165;1;4,3796;91,2409;µg/kg;;;1,0000;;;;;
